A-bomb,Атомная бОмба,ˈeɪbɔm
ill-conditioned,дурнОй,ˈɪlkənˈdɪʃənd
ill-conditioned,в плохОм состоЯнии,ˈɪlkənˈdɪʃənd
ill-considered,необдУманный,ˈɪlkənˈsɪdəd
ill-disposed,склОнный к дурнОму,ˈɪldɪsˈpəuzd
ill-disposed,недоброжелАтельный,ˈɪldɪsˈpəuzd
ill-disposed,в плохОм настроЕнии,ˈɪldɪsˈpəuzd
ill-fated,несчастлИвый,ˈɪlˈfeɪtɪd
ill-favoured,некрасИвый,ˈɪlˈfeɪvəd
ill-favoured,неприЯтный,ˈɪlˈfeɪvəd
ill-feeling,неприЯзнь,ˈɪlˈfi:lɪŋ
ill-feeling,чУвство обИды,ˈɪlˈfi:lɪŋ
ill-found,плОхо снабжЁнный,ˈɪlˈfaund
ill-founded,необоснОванный,ˈɪlˈfaundɪd
ill-gotten,добЫтый,ˈɪlˈgɔtn
ill-gotten,нАжитый нечЕстным путЁм,ˈɪlˈgɔtn
ill-humoured,в дурнОм настроЕнии,ˈɪlˈhju:məd
ill-judjed,неразУмный,ˈɪlˈdzʌdzd
ill-judjed,несвоеврЕменный,ˈɪlˈdzʌdzd
ill-luck,невезЕние,ˈɪlˈlʌk
ill-mannered,невоспИтанный,ˈɪlˈmænəd
ill-natured,дурнОго нрАва,ˈɪlˈneɪtʃəd
ill-omened,предвещАющий несчАстье,ˈɪlˈəumend
ill-placed,неудАчно располОженный,ˈɪlˈpleɪst
ill-placed,неумЕстный,ˈɪlˈpleɪst
ill-sorted,неудАчно подОбранный,ˈɪlˈsɔ:tɪd
ill-spoken,пОльзующийся дурнОй репутАцией,ˈɪlˈspəukən
ill-starred,родИвшийся под несчастлИвой звездОй,ˈɪlˈstɑ:d
ill-suited,непригОдный,ˈɪlˈsju:tɪd
ill-tempered,со сквЕрным харАктером,ˈɪlˈtempəd
ill-timed,несвоеврЕменный,ˈɪlˈtaɪmd
ill-treat,плОхо,ˈɪlˈtri:t
ill-treatment,дурнОе обращЕние,ˈɪlˈtri:tmənt
ill-will,недоброжелАтельность,ˈɪlˈwɪl
ill-wisher,недоброжелАтель,ˈɪlˈwɪʃə
ill-wresting,искажАющий,ˈɪlˈrestɪŋ
ill-wresting,даЮщий непрАвильное освещЕние,ˈɪlˈrestɪŋ
ill-wresting,толковАние,ˈɪlˈrestɪŋ
illation,вЫвод,ɪˈleɪʃən
illative,выражАющий заключЕние,ɪˈleɪtɪv
illbreeding,дурнЫе манЕры,ˈɪlˈbri:dɪŋ
illegal,незакОнный,ɪˈli:gəl
illegality,незакОнность,ˌɪli:ˈgælɪtɪ
illegality,нелегАльность,ˌɪli:ˈgælɪtɪ
illegibility,неразбОрчивость,ɪˌledʒɪˈbɪlɪtɪ
illegible,нечЁткий,ɪˈledʒəbl
illegitimacy,незакОнность,ˌɪlɪˈdʒɪtɪməsɪ
illegitimacy,незаконнорождЁнность,ˌɪlɪˈdʒɪtɪməsɪ
illiberal,непросвещЁнный,ɪˈlɪbərəl
illiberal,нетерпИмый,ɪˈlɪbərəl
illiberal,скупОй,ɪˈlɪbərəl
illicit,незакОнный,ɪˈlɪsɪt
illimitable,неогранИченный,ɪˈlɪmɪtəbl
illinium,иллИний,ɪˈlɪnɪəm
illiteracy,негрАмотность,ɪˈlɪtərəsɪ
illness,нездорОвье,ˈɪlnɪs
illogical,нелогИчный,ɪˈlɔdʒɪkəl
illogicality,нелогИчность,ˈɪlɔdʒɪˈkælɪtɪ
illuminate,освещАть,ɪˈlju:mɪneɪt
illuminate,иллюминИровать,ɪˈlju:mɪneɪt
illuminate,украшАть рУкопись цветнЫми рисУнками,ɪˈlju:mɪneɪt
illuminate,просвещАть,ɪˈlju:mɪneɪt
illuminate,проливАть свет,ɪˈlju:mɪneɪt
illumination,освещЕние,ɪˌlju:mɪˈneɪʃən
illumination,Яркость,ɪˌlju:mɪˈneɪʃən
illumination,вдохновЕние,ɪˌlju:mɪˈneɪʃən
illuminative,освещАющий,ɪˈlju:mɪnətɪv
illuminative,поучИтельный,ɪˈlju:mɪnətɪv
illumine,освещАть,ɪˈlju:mɪn
illumine,просвещАть,ɪˈlju:mɪn
illumine,оживлЯть,ɪˈlju:mɪn
illusion,иллЮзия,ɪˈlu:ʒən
illusion,прозрАчная кисеЯ,ɪˈlu:ʒən
illusionist,иллюзионИст,ɪˈlu:ʒənɪst
illusionist,мечтАтель,ɪˈlu:ʒənɪst
illusive,обмАнчивый,ɪˈlu:sɪv
illustrate,иллюстрИровать,ˈɪləstreɪt
illustration,иллюстрАция,ˌɪləsˈtreɪʃən
illustration,иллюстрИрование,ˌɪləsˈtreɪʃən
illustration,примЕр,ˌɪləsˈtreɪʃən
illustrative,иллюстратИвный,ˈɪləstreɪtɪv
illustrious,знаменИтый,ɪˈlʌstrɪəs
image-building,пропагандИстская реклАма,ˈɪmɪdʒˌbɪldɪŋ
imagery,скульптУра,ˈɪmɪdʒərɪ
imagery,Образность,ˈɪmɪdʒərɪ
imaginable,вообразИмый,ɪˈmædʒɪnəbl
imaginary,воображАемый,ɪˈmædʒɪnərɪ
imaginary,мнИмый,ɪˈmædʒɪnərɪ
imagination,воображЕние,ɪˌmædʒɪˈneɪʃən
imaginative,одарЁнный богАтым воображЕнием,ɪˈmædʒɪnətɪv
imaginative,Образный,ɪˈmædʒɪnətɪv
imagine,воображАть,ɪˈmædʒɪn
imagine,дУмать,ɪˈmædʒɪn
imagine,догАдываться,ɪˈmædʒɪn
imago,Образ,ɪˈmeɪgəu
imago,имАго,ɪˈmeɪgəu
imbalance,отсУтствие равновЕсия,ɪmˈbæləns
imbalance,несоотвЕтствие,ɪmˈbæləns
imbecility,слабоУмие,ˌɪmbɪˈsɪlɪtɪ
imbecility,неспосОбность,ˌɪmbɪˈsɪlɪtɪ
imbibe,впИтывать,ɪmˈbaɪb
imbibe,усвАивать,ɪmˈbaɪb
imbibition,впИтывание,ˌɪmbɪˈbɪʃən
imbrex,желОбчатая черепИца,ˈɪmbreks
imbrue,запятнАть,ɪmˈbru:
imbue,насыщАть,ɪmˈbju:
imbue,окрАшивать,ɪmˈbju:
imbue,вдохнУть,ɪmˈbju:
imitate,подражАть,ˈɪmɪteɪt
imitate,имитИровать,ˈɪmɪteɪt
imitate,имитИровать,ˈɪmɪteɪt
imitation,подражАние,ˌɪmɪˈteɪʃən
imitation,имитАция,ˌɪmɪˈteɪʃən
imitative,подражАтельный,ˈɪmɪtətɪv
imitative,подражАтельный,ˈɪmɪtətɪv
imitative,поддЕльный,ˈɪmɪtətɪv
imitator,подражАтель,ˈɪmɪteɪtə
immaculacy,чистотА,ɪˈmækjuləsɪ
immaculacy,безукорИзненность,ɪˈmækjuləsɪ
immaculate,незапЯтнанный,ɪˈmækjulɪt
immaculate,безукорИзненный,ɪˈmækjulɪt
immanence,постоЯнное,ˈɪmənəns
immanency,постоЯнное,ˈɪmənənsɪ
immanent,присУщий,ˈɪmənənt
immaterial,невещЕственный,ˌɪməˈtɪərɪəl
immaterial,несущЕственный,ˌɪməˈtɪərɪəl
immateriality,невещЕственность,ˈɪməˌtɪərɪˈælɪtɪ
immateriality,несущЕственность,ˈɪməˌtɪərɪˈælɪtɪ
immature,незрЕлый,ˌɪməˈtjuə
immaturity,незрЕлость,ˌɪməˈtjuərɪtɪ
immeasurability,неизмерИмость,ɪˌmeʒərəˈbɪlɪtɪ
immeasurable,неизмерИмый,ɪˈmeʒərəbl
immediacy,непосрЕдственность,ɪˈmi:djəsɪ
immediacy,незамедлИтельность,ɪˈmi:djəsɪ
immediate,ближАйший,ɪˈmi:djət
immediate,немЕдленный,ɪˈmi:djət
immedicable,неизлечИмый,ɪˈmedɪkəbl
immemorial,незапАмятный,ˌɪmɪˈmɔ:rɪəl
immemorial,дрЕвний,ˌɪmɪˈmɔ:rɪəl
immense,огрОмный,ɪˈmens
immense,необъЯтный,ɪˈmens
immensity,безмЕрность,ɪˈmensɪtɪ
immerse,погружАть,ɪˈmə:s
immerse,поглощАть,ɪˈmə:s
immerse,вовлекАть,ɪˈmə:s
immersion,погружЕние,ɪˈmə:ʃən
immigrate,иммигрИровать,ˈɪmɪgreɪt
immigration,иммигрАция,ˌɪmɪˈgreɪʃən
imminence,приближЕние,ˈɪmɪnəns
imminent,блИзкий,ˈɪmɪnənt
immiscible,не поддаЮщийся смешЕнию,ɪˈmɪsɪbl
immitigable,не поддаЮщийся облегчЕнию,ɪˈmɪtɪgəbl
immitigable,неумолИмый,ɪˈmɪtɪgəbl
immixture,смЕшивание,ɪˈmɪkstʃə
immixture,учАстие,ɪˈmɪkstʃə
immobile,недвИжимый,ɪˈməubaɪl
immobility,неподвИжность,ˌɪməuˈbɪlɪtɪ
immobilize,дЕлать неподвИжным,ɪˈməubɪlaɪz
immobilize,изымАть из обращЕния,ɪˈməubɪlaɪz
immoderate,неумЕренный,ɪˈmɔdərɪt
immoderate,несдЕржанный,ɪˈmɔdərɪt
immodest,нескрОмный,ɪˈmɔdɪst
immodest,нАглый,ɪˈmɔdɪst
immodesty,нескрОмность,ɪˈmɔdɪstɪ
immodesty,нАглость,ɪˈmɔdɪstɪ
immolate,приносИть в жЕртву,ˈɪməuleɪt
immolation,жертвоприношЕние,ˌɪməuˈleɪʃən
immoral,аморАльный,ɪˈmɔrəl
immorality,аморАльность,ˌɪməˈrælɪtɪ
immorality,аморАльный постУпок,ˌɪməˈrælɪtɪ
immortal,римских богах,ɪˈmɔ:tl
immortality,бессмЕртие,ˌɪmɔ:ˈtælɪtɪ
immortalization,увековЕчение,ɪˌmɔ:təlaɪˈzeɪʃən
immortalize,обессмЕртить,ɪˈmɔ:təlaɪz
immortelle,иммортЕль,ˌɪmɔ:ˈtel
immovability,неподвИжность,ɪˌmu:vəˈbɪlɪtɪ
immovability,непоколебИмость,ɪˌmu:vəˈbɪlɪtɪ
immovability,спокОйствие,ɪˌmu:vəˈbɪlɪtɪ
immovable,недвИжимое имУщество,ɪˈmu:vəbl
immune,невосприИмчивый,ɪˈmju:n
immune,освобождЁнный,ɪˈmju:n
immune,неприкосновЕнный,ɪˈmju:n
immunity,невосприИмчивость,ɪˈmju:nɪtɪ
immunity,неприкосновЕнность,ɪˈmju:nɪtɪ
immunization,иммунизАция,ɪˌmju:naɪˈzeɪʃən
immunize,иммунизИровать,ˈɪmju:naɪz
immunology,иммунолОгия,ˌɪmju:ˈnɔlɔdʒɪ
immure,заточАть,ɪˈmjuə
immurement,заточЕние,ɪˈmjuəmənt
immurement,замурОвывание,ɪˈmjuəmənt
immurement,захоронЕние в стенЕ,ɪˈmjuəmənt
immutability,неизмЕнность,ɪˌmju:təˈbɪlɪtɪ
immutable,неизмЕнный,ɪˈmju:təbl
imp,чертЁнок,ɪmp
imp,пострелЁнок,ɪmp
impair,ослаблЯть,ɪmˈpɛə
impair,ухудшАть,ɪmˈpɛə
impair,наносИть ущЕрб,ɪmˈpɛə
impairment,ухудшЕние,ɪmˈpɛəmənt
impale,прокАлывать,ɪmˈpeɪl
impalement,обнесЕние частокОлом,ɪmˈpeɪlmənt
impalpability,неосязАемость,ɪmˌpælpəˈbɪlɪtɪ
impalpable,неосязАемый,ɪmˈpælpəbl
impalpable,неуловИмый,ɪmˈpælpəbl
imparity,нерАвенство,ɪmˈpærɪtɪ
impark,испОльзовать,ɪmˈpɑ:k
impark,помещАть в парк,ɪmˈpɑ:k
impart,давАть,ɪmˈpɑ:t
impart,сообщАть,ɪmˈpɑ:t
impartial,беспристрАстный,ɪmˈpɑ:ʃəl
impartiality,беспристрАстие,ˈɪmˌpɑ:ʃɪˈælɪtɪ
impartible,неделИмый,ɪmˈpɑ:tɪbl
impassable,непроходИмый,ɪmˈpɑ:səbl
impasse,тупИк,æmˈpɑ:s
impasse,тупИк,æmˈpɑ:s
impassibility,бесстрАстность,ˈɪmˌpæsɪˈbɪlɪtɪ
impassible,бесстрАстный,ɪmˈpæsɪbl
impassion,внушАть страсть,ɪmˈpæʃən
impassive,бесстрАстный,ɪmˈpæsɪv
impassivity,бесстрАстие,ˌɪmpæˈsɪvɪtɪ
impaste,месИть,ɪmˈpeɪst
impatience,нетерпЕние,ɪmˈpeɪʃəns
impatience,раздражИтельность,ɪmˈpeɪʃəns
impatient,нетерпелИвый,ɪmˈpeɪʃənt
impatient,нетЕрпящий,ɪmˈpeɪʃənt
impatient,беспокОйный,ɪmˈpeɪʃənt
impawn,отдавАть в залОг,ɪmˈpɔ:n
impeach,брать под сомнЕние,ɪmˈpi:tʃ
impeach,порицАть,ɪmˈpi:tʃ
impeach,обвинЯть,ɪmˈpi:tʃ
impeach,предъявлЯть обвинЕние в госудАрственном преступлЕнии,ɪmˈpi:tʃ
impeachment,порицАние,ɪmˈpi:tʃmənt
impeachment,обвинЕние,ɪmˈpi:tʃmənt
impeccability,непогрешИмость,ɪmˌpekəˈbɪlɪtɪ
impeccability,безупрЕчность,ɪmˌpekəˈbɪlɪtɪ
impeccable,непогрешИмый,ɪmˈpekəbl
impeccable,безупрЕчный,ɪmˈpekəbl
impecunious,нуждАющийся,ˌɪmpɪˈkju:njəs
impedance,пОлное сопротивлЕние,ɪmˈpi:dəns
impede,препЯтствовать,ɪmˈpi:d
impediment,препЯтствие,ɪmˈpedɪmənt
impedimenta,войсковОе имУщество,ɪmˌpedɪˈmentə
impedimental,препЯтствующий,ɪmˌpedɪˈmentl
impel,приводИть в движЕние,ɪmˈpel
impel,побуждАть,ɪmˈpel
impeller,импЕллер,ɪmˈpelə
impend,надвигАться,ɪmˈpend
impendence,блИзость,ɪmˈpendəns
impendent,надвигАющийся,ɪmˈpendənt
impenetrability,непроходИмость,ɪmˌpenɪtrəˈbɪlɪtɪ
impenetrable,непроходИмый,ɪmˈpenɪtrəbl
impenetrable,непроницАемый,ɪmˈpenɪtrəbl
impenetrable,непонЯтный,ɪmˈpenɪtrəbl
impenetrable,не поддаЮщийся воздЕйствию,ɪmˈpenɪtrəbl
impenetrate,проникАть вглубь,ɪmˈpenɪtreɪt
impenitence,нераскАянность,ɪmˈpenɪtəns
impenitent,нераскАявшийся,ɪmˈpenɪtənt
imperceptible,незамЕтный,ˌɪmpəˈseptəbl
imperfect,прошЕдшее несовершЕнное врЕмя,ɪmˈpə:fɪkt
imperfection,несовершЕнство,ˌɪmpəˈfekʃən
imperfection,недостАток,ˌɪmpəˈfekʃən
imperialism,империалИзм,ɪmˈpɪərɪəlɪzm
imperialist,империалИст,ɪmˈpɪərɪəlɪst
imperialistic,империалистИческий,ɪmˌpɪərɪəˈlɪstɪk
imperil,подвергАть опАсности,ɪmˈperɪl
imperious,повелИтельный,ɪmˈpɪərɪəs
imperious,настоЯтельный,ɪmˈpɪərɪəs
imperishability,нерушИмость,ɪmˌperɪʃəˈbɪlɪtɪ
imperishable,нерушИмый,ɪmˈperɪʃəbl
imperishable,непОртящийся,ɪmˈperɪʃəbl
impermanent,непостоЯнный,ɪmˈpə:mənənt
impermanent,неустОйчивый,ɪmˈpə:mənənt
impermanent,нестОйкий,ɪmˈpə:mənənt
impermeability,непроницАемость,ɪmˌpə:mjəˈbɪlɪtɪ
impermeable,непроницАемый,ɪmˈpə:mjəbl
impermissible,недопустИмый,ˌɪmpəˈmɪsəbl
impersonal,бескорЫстный,ɪmˈpə:snl
impersonal,обезлИченный,ɪmˈpə:snl
impersonality,безлИчность,ɪmˌpə:səˈnælɪtɪ
impersonate,олицетворЯть,ɪmˈpə:səneɪt
impersonate,исполнЯть роль,ɪmˈpə:səneɪt
impersonate,выдавАть себЯ,ɪmˈpə:səneɪt
impersonation,олицетворЕние,ɪmˌpə:səˈneɪʃən
impersonation,исполнЕние рОли,ɪmˌpə:səˈneɪʃən
impersonation,самозвАнство,ɪmˌpə:səˈneɪʃən
impersonator,создАтель,ɪmˈpə:səneɪtə
impersonator,самозвАнец,ɪmˈpə:səneɪtə
impertinence,дЕрзость,ɪmˈpə:tɪnəns
impertinence,неумЕстность,ɪmˈpə:tɪnəns
impertinent,дЕрзкий,ɪmˈpə:tɪnənt
impertinent,неумЕстный,ɪmˈpə:tɪnənt
imperturbability,невозмутИмость,ˈɪmpə:ˌtə:bəˈbɪlɪtɪ
imperturbable,невозмутИмый,ˌɪmpə:ˈtə:bəbl
impervious,непроницАемый,ɪmˈpə:vjəs
impervious,непроходИмый,ɪmˈpə:vjəs
impetigo,импетИго,ˌɪmpɪˈtaɪgəu
impetuosity,стремИтельность,ɪmˌpetjuˈɔsɪtɪ
impetuous,стремИтельный,ɪmˈpetjuəs
impetuous,бУрный,ɪmˈpetjuəs
impetus,стремИтельность,ˈɪmpɪtəs
impiety,отсУтствие нАбожности,ɪmˈpaɪətɪ
impiety,неуважЕние,ɪmˈpaɪətɪ
impinge,ударЯться,ɪmˈpɪndʒ
impinge,нарушАть,ɪmˈpɪndʒ
impingement,удАр,ɪmˈpɪndʒmənt
impingement,покушЕние,ɪmˈpɪndʒmənt
impious,нечестИвый,ˈɪmpɪəs
impish,прокАзливый,ˈɪmpɪʃ
implacability,неумолИмость,ɪmˌplækəˈbɪlɪtɪ
implacability,непримирИмость,ɪmˌplækəˈbɪlɪtɪ
implacable,неумолИмый,ɪmˈplækəbl
implacable,непримирИмый,ɪmˈplækəbl
implant,капиллЯрная трУбочка с рАдием,ɪmˈplɑ:nt
implantation,насаждЕние,ˌɪmplɑ:nˈteɪʃən
implantation,посАдка,ˌɪmplɑ:nˈteɪʃən
implementation,осуществлЕние,ˌɪmplɪmenˈteɪʃən
implex,слОжный,ˈɪmpleks
implicate,вовлекАть,ˈɪmplɪkeɪt
implicate,заключАть в себЕ,ˈɪmplɪkeɪt
implicate,спУтывать,ˈɪmplɪkeɪt
implication,вовлечЕние,ˌɪmplɪˈkeɪʃən
implication,замЕшанность,ˌɪmplɪˈkeɪʃən
implication,то,ˌɪmplɪˈkeɪʃən
implicit,безоговОрочный,ɪmˈplɪsɪt
implode,взрывАть,ɪmˈpləud
implore,умолЯть,ɪmˈplɔ:
imply,заключАть в себЕ,ɪmˈplaɪ
imply,подразумевАть,ɪmˈplaɪ
impolicy,нетактИчность,ɪmˈpɔlɪsɪ
impolicy,неразУмная полИтика,ɪmˈpɔlɪsɪ
impolite,невЕжливый,ˌɪmpəˈlaɪt
impolitic,неполитИчный,ɪmˈpɔlɪtɪk
importable,ввозИмый,ɪmˈpɔ:təbl
importance,вАжность,ɪmˈpɔ:təns
importance,значЕние,ɪmˈpɔ:təns
important,вАжный,ɪmˈpɔ:tənt
important,вАжничающий,ɪmˈpɔ:tənt
importation,ввоз,ˌɪmpɔ:ˈteɪʃən
importation,Импортные товАры,ˌɪmpɔ:ˈteɪʃən
importer,импортЁр,ɪmˈpɔ:tə
importless,несущЕственный,ˈɪmpɔ:tlɪs
importunate,настОйчивый,ɪmˈpɔ:tjunɪt
importunate,спЕшный,ɪmˈpɔ:tjunɪt
importune,докучАть,ɪmˈpɔ:tju:n
importunity,назОйливость,ˌɪmpɔ:ˈtju:nɪtɪ
impose,обмАнывать,ɪmˈpəuz
impose,навязАть,ɪmˈpəuz
impose,обмАном продАть,ɪmˈpəuz
imposition,наложЕние,ˌɪmpəˈzɪʃən
imposition,обложЕние,ˌɪmpəˈzɪʃən
imposition,обмАн,ˌɪmpəˈzɪʃən
impossibility,невозмОжность,ɪmˌpɔsəˈbɪlɪtɪ
impossible,невозмОжный,ɪmˈpɔsəbl
impossible,невероЯтный,ɪmˈpɔsəbl
impostor,обмАнщик,ɪmˈpɔstə
impostor,самозвАнец,ɪmˈpɔstə
imposture,обмАн,ɪmˈpɔstʃə
impotable,негОдный для питьЯ,ɪmˈpəutəbl
impotence,бессИлие,ˈɪmpətəns
impotent,бессИльный,ˈɪmpətənt
impound,конфисковАть,ɪmˈpaund
impound,загонЯть,ɪmˈpaund
impound,заключАть,ɪmˈpaund
impound,запрУживать,ɪmˈpaund
impoundment,пруд,ɪmˈpaundmənt
impoverish,доводИть до бЕдности,ɪmˈpɔvərɪʃ
impoverish,истощАть,ɪmˈpɔvərɪʃ
impoverish,подрывАть,ɪmˈpɔvərɪʃ
impoverish,обеднЯть,ɪmˈpɔvərɪʃ
impoverishment,обеднЕние,ɪmˈpɔvərɪʃmənt
impracticability,невыполнИмость,ɪmˌpræktɪkəˈbɪlɪtɪ
impracticable,невыполнИмый,ɪmˈpræktɪkəbl
impracticable,неподАтливый,ɪmˈpræktɪkəbl
impracticable,непроходИмый,ɪmˈpræktɪkəbl
impracticable,негОдный к употреблЕнию,ɪmˈpræktɪkəbl
imprecate,проклинАть,ˈɪmprɪkeɪt
imprecation,проклЯтие,ˌɪmprɪˈkeɪʃən
imprecatory,проклинАющий,ˈɪmprɪkeɪtərɪ
impregnability,непристУпность,ɪmˌpregnəˈbɪlɪtɪ
impregnability,непоколебИмость,ɪmˌpregnəˈbɪlɪtɪ
impregnable,непристУпный,ɪmˈpregnəbl
impregnable,непоколебИмый,ɪmˈpregnəbl
impregnated,оплодотворЁнный,ˈɪmpregneɪtɪd
impregnated,берЕменная,ˈɪmpregneɪtɪd
impregnated,насЫщенный,ˈɪmpregneɪtɪd
impregnation,оплодотворЕние,ˌɪmpregˈneɪʃən
impregnation,пропИтывание,ˌɪmpregˈneɪʃən
imprescriptible,неотъЕмлемый,ˌɪmprɪsˈkrɪptəbl
impressibility,впечатлИтельность,ɪmˌpresɪˈbɪlɪtɪ
impressible,впечатлИтельный,ɪmˈpresəbl
impression,впечатлЕние,ɪmˈpreʃən
impression,Оттиск,ɪmˈpreʃən
impression,печАть,ɪmˈpreʃən
impression,издАние,ɪmˈpreʃən
impressionability,впечатлИтельность,ɪmˌpreʃnəˈbɪlɪtɪ
impressionable,впечатлИтельный,ɪmˈpreʃnəbl
impressionism,импрессионИзм,ɪmˈpreʃnɪzm
impressive,производЯщий глубОкое впечатлЕние,ɪmˈpresɪv
impressment,насИльственная вербОвка,ɪmˈpresmənt
impressment,реквизИция,ɪmˈpresmənt
imprest,авАнс,ˈɪmprest
imprimatur,разрешЕние цензУры,ˌɪmprɪˈmeɪtə
imprimatur,сАнкция,ˌɪmprɪˈmeɪtə
imprison,заключАть в тюрьмУ,ɪmˈprɪzn
imprisonment,заключЕние,ɪmˈprɪznmənt
improbability,невероЯтность,ɪmˈprɔbəˌbɪlɪtɪ
improbable,невероЯтный,ɪmˈprɔbəbl
improbity,нечЕстность,ɪmˈprəubɪtɪ
improper,неподходЯщий,ɪmˈprɔpə
improper,непрАвильный,ɪmˈprɔpə
improper,непрАвильная,ɪmˈprɔpə
improper,несовершЕнный приЁм,ɪmˈprɔpə
improper,непристОйный,ɪmˈprɔpə
improper,неиспрАвный,ɪmˈprɔpə
impropriety,неумЕстность,ˌɪmprəˈpraɪətɪ
impropriety,непрАвильность,ˌɪmprəˈpraɪətɪ
impropriety,нарушЕние обЫчаев,ˌɪmprəˈpraɪətɪ
improvable,поддаЮщийся усовершЕнствованию,ɪmˈpru:vəbl
improve,улучшАть,ɪmˈpru:v
improvement,улучшЕние,ɪmˈpru:vmənt
improvement,мелиорАция,ɪmˈpru:vmənt
improver,тот,ɪmˈpru:və
improver,практикАнт,ɪmˈpru:və
improver,мелиорАция,ɪmˈpru:və
improvidence,непредусмотрИтельность,ɪmˈprɔvɪdəns
improvidence,расточИтельность,ɪmˈprɔvɪdəns
improvident,непредусмотрИтельный,ɪmˈprɔvɪdənt
improvident,расточИтельный,ɪmˈprɔvɪdənt
improvisation,импровизАция,ˈɪmprəvaɪˈzeɪʃən
improvisator,импровизАтор,ɪmˈprɔvɪzeɪtə
improvise,импровизИровать,ˈɪmprəvaɪz
improvise,нАскоро устрОить,ˈɪmprəvaɪz
imprudence,неблагоразУмие,ɪmˈpru:dəns
imprudence,опромЕтчивый постУпок,ɪmˈpru:dəns
imprudent,неблагоразУмный,ɪmˈpru:dənt
impudence,дЕрзость,ˈɪmpjudəns
impudent,дЕрзкий,ˈɪmpjudənt
impugn,оспАривать,ɪmˈpju:n
impugnable,спОрный,ɪmˈpju:nəbl
impugnment,оспАривание,ɪmˈpju:nmənt
impulse,толчОк,ˈɪmpʌls
impulse,порЫв,ˈɪmpʌls
impulsion,побуждЕние,ɪmˈpʌlʃən
impulsive,импульсИвный,ɪmˈpʌlsɪv
impulsive,побуждАющий,ɪmˈpʌlsɪv
impunity,безнакАзанно,ɪmˈpju:nɪtɪ
impunity,без вредА для себЯ,ɪmˈpju:nɪtɪ
impure,нечИстый,ɪmˈpjuə
impure,смЕшанный,ɪmˈpjuə
impurity,загрязнЕние,ɪmˈpjuərɪtɪ
impurity,прИмесь,ɪmˈpjuərɪtɪ
imputation,вменЕние в винУ,ˌɪmpju:ˈteɪʃən
imputation,пятнО,ˌɪmpju:ˈteɪʃən
impute,припИсывать кому,ɪmˈpju:t
in-calf,стЕльная,ɪnˈkɑ:f
in-patient,стационАрный больнОй,ˈɪnˌpeɪʃənt
in-planttraining,повышЕние квалификАции по мЕсту рабОты,ˈɪnplɑ:ntˈtreɪnɪŋ
in-toed,с пАльцами ног,ˈɪntəud
inability,неспосОбность,ˌɪnəˈbɪlɪtɪ
inaccessibility,недостУпность,ˈɪnækˈsesəˈbɪlɪtɪ
inaccessible,недостУпный,ˌɪnækˈsesəbl
inaccuracy,нетОчность,ɪnˈækjurəsɪ
inaccuracy,ошИбка,ɪnˈækjurəsɪ
inaccurate,нетОчный,ɪnˈækjurɪt
inaccurate,непрАвильный,ɪnˈækjurɪt
inaction,бездЕйствие,ɪnˈækʃən
inactive,бездЕятельный,ɪnˈæktɪv
inactivity,бездЕятельность,ˌɪnækˈtɪvɪtɪ
inadaptability,неприспосОбленность,ˌɪnəˌdæptəˈbɪlɪtɪ
inadaptability,неприменИмость,ˌɪnəˌdæptəˈbɪlɪtɪ
inadequacy,несоотвЕтствие трЕбованиям,ɪnˈædɪkwəsɪ
inadequate,не отвечАющий трЕбованиям,ɪnˈædɪkwɪt
inadhesive,неклЕйкий,ˌɪnədˈhi:sɪv
inadmissible,недопустИмый,ˌɪnədˈmɪsəbl
inadvertence,невнимАтельность,ˌɪnədˈvə:təns
inadvertence,недосмОтр,ˌɪnədˈvə:təns
inadvertence,неумЫшленность,ˌɪnədˈvə:təns
inadvertency,невнимАтельность,ˌɪnədˈvə:tənsɪ
inadvertency,недосмОтр,ˌɪnədˈvə:tənsɪ
inadvertency,неумЫшленность,ˌɪnədˈvə:tənsɪ
inadvertent,невнимАтельный,ˌɪnədˈvə:tənt
inadvertent,ненамЕренный,ˌɪnədˈvə:tənt
inalienability,неотчуждАемость,ɪnˌeɪljənəˈbɪlɪtɪ
inalterable,неизмЕнный,ɪnˈɔ:ltərəbl
inamorata,любОвница,ɪnˌæməˈrɑ:tə
inamorata,возлЮбленная,ɪnˌæməˈrɑ:tə
inamorato,любОвник,ɪnˌæməˈrɑ:təu
inamorato,возлЮбленный,ɪnˌæməˈrɑ:təu
inane,пустОй,ɪˈneɪn
inanimate,неодушевлЁнный,ɪnˈænɪmɪt
inanimate,безжИзненный,ɪnˈænɪmɪt
inanimation,неодушевлЁнность,ɪnˌænɪˈmeɪʃən
inanimation,безжИзненность,ɪnˌænɪˈmeɪʃən
inanition,истощЕние,ˌɪnəˈnɪʃən
inanity,пустотА,ɪˈnænɪtɪ
inapplicability,неприменИмость,ˈɪnˌæplɪkəˈbɪlɪtɪ
inapplicable,неприменИмый,ɪnˈæplɪkəbl
inapposite,неподходЯщий,ɪnˈæpəzɪt
inappreciable,незамЕтный,ˌɪnəˈpri:ʃəbl
inappreciable,неоценИмый,ˌɪnəˈpri:ʃəbl
inapprehensible,непостижИмый,ˌɪnæprɪˈhensəbl
inapproachable,непристУпный,ˌɪnəˈprəutʃəbl
inappropriate,неумЕстный,ˌɪnəˈprəuprɪɪt
inapt,неискУсный,ɪnˈæpt
